global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22
865.9141671032321	n/a	n/a	749807.3447900842	1041.185270351834	n/a	1084066.767197622	n/a	787.9534368645654	n/a	n/a	620870.6186666808	802.7602503898213	701.9032885364488	n/a	n/a	n/a	n/a	-0.0863054052	-0.0194640614	0.0372172857	-0.1688619246	0.0907432272	-0.0094807472	0.106578624	-0.1377322949	-0.0162597696	-0.0151807185	-0.007047393	0.0605988357	-0.090148261	0.1809775347	-0.0252199505	0.0263303454	-0.0122796635	-0.0259422706	-0.0001404823	0.0395365895	-0.1375744978	0.124933623	-0.0777263013	0.1098421037	-0.0387229895	-0.0544339607	-0.0150470136	0.0591223846	-0.0207860264	0.1513328079	-0.0061527976	0.0164463326	-0.0709640085	0.0035136936	-0.0404620558	0.1200485067	-0.016707996	0.0508382095	-0.1244229609	0.1222138189	-0.1211941951	0.1285162441	-0.0866634472	0.0371110314	-0.1031265167	0.1589748053	-0.0209899155	0.0099014206	-0.1012889835	0.1561451084	0.1560591586	-0.0057619315198564	n/a	3.3199854839514684e-05	n/a	-0.0330459389507638	n/a	n/a	0.0010920340811376	-0.0500311786940983	n/a	0.0025031188415207	n/a	-0.0013339978331394	n/a	1.7795502188206148e-06	n/a	1.9959589536711064e-12	n/a	n/a	3.983852144739858e-24	7.641305134215709e-11	n/a	5.838954415419136e-21	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
860.1816626562983	-5.732504446933831	32.86160723411614	739912.4927701537	1023.5392823961046	-17.645987955729538	1047632.6626079328	311.3808909337519	785.8445159703085	-2.1089208942569257	4.447547338233432	617551.6032806085	799.5780855343666	688.1265161127785	1.065358	18.555399	0.1735396244446739	0.089505538946953	-0.014456552	-0.0288537176	0.0436598456	-0.042008219	-0.0056911501	0.0993320374	0.006984025	0.027860695	0.0839870538	-0.0710954443	-0.0036479094	-0.0671618865	-0.0485822477	0.1050541861	-0.0450018062	0.0468654102	0.081710517	0.0112172222	-0.1078243992	0.0192137521	0.0045725896	0.1240400112	-0.0656941485	0.0106253442	-0.0055690337	-0.052484303	-0.0433458267	0.0090805761	-0.0526206424	0.0811254259	0.096481386	-0.0156139548	-0.1242636292	-0.1085465121	0.0287921618	0.0997750257	0.0429674494	0.0676915154	-0.2100826553	0.1460748877	-0.1291594037	0.0645387659	-0.0657401741	0.1294359717	-0.1326830975	0.0854379586	-0.0995624716	-0.0726886295	0.0436235485	0.155915944	0.1551433414	-0.0277748760379239	-0.0220129445180675	0.000771443738922	0.0004845697263555	0.0047419092903311	0.0377878482410949	0.001427921474692	2.24857037177284e-05	0.027204641633105	0.0772358203272033	0.0007400925263856	0.005965371941616	-0.000767000466711	0.0005669973664284	5.882897159348919e-07	3.2148601353674137e-07	-6.251695605641316e-08	-6.251895201536685e-08	3.908619361099741e-15	3.908369794559495e-15	0.0001630004181988	0.0001630003417857	2.656913633298369e-08	2.6569111422270882e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
858.9088103154822	-1.27285234081603	1.620153081520847	737724.344437557	1024.3398781670464	0.8005957709418681	1049272.1860032796	0.640953588450004	785.9744565780849	0.1299406077763478	0.0168845615492866	617755.8463932158	799.8428835456754	674.1633008551559	1.057337	18.415693	0.1218836622520694	0.0557062329320971	0.0311419885	0.0180887611	0.051370429	0.0407237074	-0.0528906692	-0.00090849	0.0388189847	-0.0047833363	0.0689247774	-0.0343552467	-0.050949009	-0.0047165565	0.0621298159	0.0434453158	0.1119669171	0.0830028323	-0.0892866098	0.0306293567	-0.0621749354	-0.0609510693	0.0080001619	-0.0311286071	-0.0719705867	-0.0166323835	-0.1255368422	-0.0352261671	-0.0021543786	-0.0153789892	-0.0435038259	0.0475120023	-0.0784227537	0.0054824377	-0.0564522331	0.0333979674	0.0080971725	0.1540918854	-0.0633606163	0.0023086134	-0.0966636178	0.1087209382	-0.0306604131	0.1938872612	-0.0933546806	-0.0979913108	-0.0606977135	0.0064713338	-0.0055244604	0.1089791877	0.0778994543	0.1554579513	0.1533170814	-0.0017042136809521	0.0260706623569718	2.9043442703443063e-06	0.0006796794357312	-0.0252456929017057	-0.0299876021920368	0.0008992562852278	0.0006373450100872	-0.0032043608857748	-0.0304090025188798	1.0267928686283462e-05	0.0009247074341932	-0.0010410141826003	-0.0002740137158892	1.0837105283749709e-06	7.508351649546197e-08	6.022011584816411e-05	6.0282632804220526e-05	3.6339958178084843e-09	3.626462352766305e-09	0.0005370319731889	0.0003740315549901	2.884033402271634e-07	1.3989960412831225e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
859.7747728144655	0.8659624989832082	0.7498910496452429	739212.6599681657	1021.4220726860896	-2.917805480956872	1043303.0505703472	8.513588824701964	787.3235962227599	1.349139644675006	1.820177780833801	619878.4451691394	800.5623961711617	673.5778068906982	0.900896	15.690952	0.0189294553576425	0.0117815697911642	0.0390611755	-0.0434501933	0.0577623682	0.0151279703	-0.0462775633	0.0532244169	-0.0020412371	-0.0444016444	-0.0003826657	-0.0615594288	-0.0402517387	0.0202525673	0.0407866657	-0.0725988731	0.0582353632	-0.0440074511	-0.1476953201	-0.0131206744	-0.0437761141	-0.0697155585	0.0095692586	-0.0427919987	0.0621742582	0.1170396638	-0.0346841281	-0.0460320609	-0.0231998894	-0.0194080818	-0.0568670359	0.0114324063	-0.1558719753	-0.0437382811	0.0374240879	-0.0427095538	0.0155624345	0.0682483424	0.0151356125	0.0758827525	-0.0174465215	0.0442576305	-0.0621866346	0.1978106423	-0.1211827544	-0.042016296	0.0684276105	-0.0534331505	-0.1567838805	0.1185005972	-0.0519486618	0.1547718027	0.1505910958	-0.0016387802152166	6.543346573550002e-05	2.685600593785366e-06	4.281538438158855e-09	-0.0253045989821174	-5.890608041169906e-05	3.469926309469556e-09	0.0006403227296457	-0.0033094643135456	-0.0001051034277707	1.095255404263185e-05	1.1046730529171718e-08	-0.000872999864033	0.0001680143185672	7.621287626016366e-07	2.822881124363413e-08	-7.976930054276465e-07	-6.101780885359176e-05	3.723172997293461e-09	6.363141309081913e-13	0.0006820000934425	0.0001449681202536	4.651241274555788e-07	2.101575588986224e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
858.4472726219418	-1.3275001925236438	1.7622567611503115	736931.7198720505	1023.5396301269532	2.117557440863606	1047633.37444042	4.484049515356827	787.4970725072574	0.1734762844974966	0.0300940212830563	620151.6392075006	800.4528951134702	666.8556269248196	0.799485	13.924673	0.0722467888943277	0.0460661265291024	0.0637755679	-0.0059193884	0.0577293412	0.0501875139	-0.0757017808	-0.0379310709	0.0179533268	0.012624304	0.0236685436	-0.0441660059	-0.0406075618	0.0258195219	0.0183657812	-0.1035996863	0.083534358	-0.1079192828	-0.1095626635	0.0095704941	-0.0444011783	-0.0742976815	0.033972011	-0.0947537263	0.1162706475	0.0651912485	0.0065665915	-0.0343351658	-0.0082337301	-0.0489358185	-0.0673431635	-0.1600049994	-0.0930462608	-0.0520392527	0.0450463558	-0.0337246791	0.0071559781	-0.0018980337	0.0319786849	-0.0025521706	-0.085114015	0.1029510635	-0.0094220422	0.0793245622	0.0224211429	0.1064256573	0.0557888984	-0.1456906132	-0.0882014864	-0.0171117814	0.0600102547	0.1538585052	0.1469813818	-0.0016349027487621	3.877466454500029e-06	2.6729069979098702e-06	1.5034746105773028e-11	0.001344684768938	0.0266492837510553	0.0007101843244442	1.8081771278138424e-06	0.0299799623112448	0.0332894266247904	0.0008987981401836	0.0011081859250073	-0.0011189993841511	-0.000245999520118	1.252159621730541e-06	6.051576389833541e-08	-8.815945595763708e-07	-8.390155414872424e-08	7.0394707885713065e-15	7.772089674746552e-13	0.0006819994940742	-5.993683000003053e-10	4.651233099174648e-07	3.59242359045256e-19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
859.7099025603752	1.262629938433406	1.594234361428347	739101.1165603698	1026.2856567382812	2.746026611328034	1053262.2492267252	7.540662150121726	788.1350764444429	0.6380039371855446	0.4070490238642563	621156.8987220878	801.7713185063114	664.5933991798263	0.904875	15.760253	0.061382027447094	0.0394740312029378	0.0602233202	-0.013314067	0.0269201838	0.0360746501	-0.0482090977	-0.0785745196	-0.006731151	0.0018773725	-0.031741819	-0.0027612638	-0.0324508568	0.0714791534	0.0795964909	-0.0664257465	-0.0308848188	-0.1475398221	-0.0368361129	-0.0109981189	0.0211371611	-0.0485234947	-0.0025690375	-0.1785796888	0.041146651	0.0168659838	0.1329806364	-0.033346295	-0.0122369292	-0.0529316427	-0.0323066962	-0.2731996648	-0.0781469167	0.0798463896	0.0740271985	0.0913683756	0.055092737	0.0038862874	0.0905161889	-0.052656214	-0.0606155553	0.1673456771	-0.0169561704	0.0510711033	0.0773123992	0.0266256816	0.005883931	0.1084789787	0.0158486015	0.0200659819	-0.0003239448	0.152719399	0.1425091225	-0.001863680058463	-0.0002287773097009	3.473303360312651e-06	5.2339057433981524e-08	-0.030070625251227	-0.031415310020165	0.000986921703663	0.0009042425029997	0.0310831451471358	0.001103182835891	0.0009661619122379	1.2170123694045089e-06	-0.0011690110741646	-5.001169001350009e-05	1.366586891519472e-06	2.501169138006425e-09	8.885454254836667e-05	8.973613710794304e-05	8.052574303055552e-09	7.895129731479502e-09	0.0002490521755689	-0.0004329473185053	6.20269861556022e-08	1.874433806009297e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
860.539865417758	0.8299628573828386	0.6888383446350861	740528.8599732132	1023.8680750528972	-2.4175816853839933	1048305.8351125252	5.844701205504109	787.7246289710477	-0.4104474733952656	0.1684671284165573	620510.0910875747	800.2653729160136	669.7782056327707	0.831022	14.473951	0.0740410482692382	0.0461825854628408	0.0313377628	-0.0254995192	0.0259054194	0.0044840807	-0.0519233091	-0.0157255953	-0.0125786499	0.0352117805	-0.0006648759	-0.0362589413	0.0009520447	0.0129347419	0.0449793533	-0.0623767439	0.0494090523	-0.1677196813	-0.0868797954	-0.014728627	-0.0131443291	-0.0022607195	0.004459538	-0.0877330683	0.0763921018	0.2273742608	0.0969289935	-0.0248899828	-0.0022220175	-0.0233515232	-0.0352115892	-0.0607697679	-0.1223658636	0.0020493501	0.1370009442	0.0100612284	-0.0312382542	0.0149480169	0.0325006931	0.0104921288	-0.1049099503	0.0931456353	-0.0652090664	0.0091524472	0.0033614966	-0.0181821477	0.069168729	0.0227696966	-0.0066835196	-0.0633608038	0.0034406588	0.1513561561	0.1372005631	-0.0016868126738529	0.0001768673846101	2.8453369966707697e-06	3.128207173881707e-08	-0.0336426418005118	-0.0035720165492847	1.2759302228364455e-05	0.0011318273473175	-0.0033783049360209	-0.0344614500831567	1.1412944240743178e-05	0.0011875915418339	-0.0007700506055644	0.0003989604686001	5.929779351300993e-07	1.5916945550569113e-07	0.0004059042871009	0.0003170497445525	1.0052054052082665e-07	1.6475829028688987e-07	0.0002496562474599	6.040718910000123e-07	6.232824189575885e-08	3.6490284949633084e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
860.0990744025947	-0.4407910151633132	0.1942967190487042	739770.4177882002	1025.798839357164	1.9307643042668587	1052263.258826505	3.727850798631087	788.1202763074065	0.3956473363588202	0.1565368147678294	621133.5699268627	801.7956337006494	676.8055264066039	0.91019	15.85284	0.1012803622335133	0.0624120785025193	0.0364447239	-0.0060269508	0.0432328897	0.033488574	0.0016496687	-0.0353913029	0.0429986074	0.0193511341	-0.0049688194	-0.024295537	-0.0441642935	-0.0167315146	-0.0223494191	-0.1136826633	0.1496154576	-0.0561431048	-0.0577064045	-0.0059546328	-0.0057089813	-0.0712116231	0.0239522941	-0.0337780583	0.1320006834	0.0978429218	-0.0624038321	-0.0264628148	0.0038853903	-0.0120075986	-0.0479612985	-0.0582088309	-0.0605688834	-0.1268964739	0.0113193227	-0.0262820223	0.0532185284	0.0311616058	-0.0165628979	0.0133596264	0.0012034382	-0.0054565183	0.0391716513	0.0581869821	-0.0270717652	-0.0521189929	0.1271738904	-0.2161987811	-0.0279050268	-0.0300265856	0.040778225	0.1497707771	0.1310868562	-0.001687562038299	-7.4936444610001e-07	2.847865633107875e-06	5.615470730787749e-13	0.0190518724978119	0.0526945142983237	0.0027767118371362	0.0003629738456728	0.0254087198914731	0.028787024827494	0.0006456030465233	0.0008286927984187	-0.0010160169709637	-0.0002459663653993	1.0322904852862522e-06	6.0499452907742e-08	0.0004059497629089	4.547580800004589e-08	2.0680491132570378e-15	1.6479521000579213e-07	9.970661380220836e-05	-0.0001499496336576	9.941408835902726e-09	2.2484892634075932e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
860.4932980719426	0.3942236693478662	0.1554123014740957	740448.7160267291	1020.1695623609756	-5.629276996188423	1040745.9359677846	31.68875949981616	787.8412102999753	-0.2790660074311972	0.077877836503589	620693.7726469298	799.9548439685209	670.3429374883359	0.967334	16.848112	0.104587655683518	0.0638445398276556	0.0252759459	-0.0196486005	0.0235082699	0.0010714744	-0.0875927472	-0.0070598004	-0.0005241079	0.0169493053	-0.0064556618	-0.0514736749	-0.0284813358	0.0321745721	-0.0015912502	0.0157493427	0.110015575	0.1246906718	0.1711189069	-0.0410612092	-0.0537373822	-0.0510745323	-0.0028726819	-0.0771429531	-0.026846911	-0.0934652569	-0.1050425172	-0.028678309	-0.0068282935	-0.0134748389	0.0208344228	-0.0774558646	-0.0220253387	0.0512727488	-0.1080059338	0.1027422283	0.1042523073	0.1624332118	0.0483303152	-0.1412622556	0.009992352	-0.0363497153	0.0685750303	-0.1567680923	0.0720141813	-0.1659145277	0.0102543281	0.0282986386	0.0674821838	-0.0329444794	0.0843390757	0.1479655889	0.1242038795	-0.0017309296663512	-4.336762805220019e-05	2.996117509854677e-06	1.880751162873981e-09	-0.0348957315435569	-0.0539476040413688	0.0029103439818043	0.0012177120799599	0.0010958874372875	-0.0243128324541856	1.2009692752045644e-06	0.0005911138219453	-0.0006589859135918	0.0003570310573719	4.3426243431241933e-07	1.2747117592809698e-07	0.0004060229399478	7.317703889998979e-08	5.354879022170619e-15	1.6485462776385481e-07	-6.886618298521937e-05	-0.0001685727967874	4.742551158953718e-09	2.8416787816735403e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
861.6416669683567	1.1483688964141263	1.3187511222513988	742426.3622560085	1022.5416046142578	2.3720422532821885	1045591.3331671013	5.626584451356043	788.1971271462636	0.3559168462883235	0.1266768014718261	621254.7112416233	801.2890157189389	681.3099508332656	0.92434	16.099279	0.083543833196919	0.0418129293903296	-0.0138502091	-0.0045379739	0.0159102539	-0.0265425055	-0.0137463593	0.0505298214	0.0402291543	-0.0069780715	-0.0150764318	-0.032794918	0.0032095325	-0.0382493025	-0.0731196868	0.089449872	0.0311610743	0.0640262919	0.0847679654	-0.0421308826	-0.0219864975	0.0071248456	-0.0061199004	0.12052285	-0.0300241063	0.032956512	-0.07243308	-0.0185209988	0.0081319687	0.0237582873	-0.0091095349	0.091185657	0.0615329484	-0.0364030159	-0.0318805893	-0.0079081031	-0.0239610907	0.0917248032	-0.073538107	-0.0140112786	-0.0606284224	-0.0051584206	-0.0155206644	-0.0672187442	0.0530300965	-0.011484112	0.0270801847	0.0256644808	0.0153839889	-0.0916543518	-0.0661414485	0.1459432408	0.1165920251	-0.0016871282131916	4.380145315960012e-05	2.846401607747081e-06	1.9185672988926433e-09	-0.012646254234383	0.0222494773091739	0.0004950392405314	0.0001599277461606	-0.0280408234379621	-0.0291367108752496	0.0007862877790789	0.0008489479206278	-0.0009825513494557	-0.0003235654358638	9.65407154317217e-07	1.0469459128579553e-07	0.0004058775236246	-1.4541632319998738e-07	2.1145907053003187e-14	1.6473656418363778e-07	0.0002496998360144	0.0003185660189996	6.235000810561826e-08	1.0148430846126585e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
